task_id,flow_id,task_type,dataset_id,predictive_accuracy,setup_string,flow_class
57,65,Supervised Classification,59,0.94302,weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1,trees
27,65,Supervised Classification,27,0.847826,weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1,trees
20,59,Supervised Classification,20,0.876,weka.classifiers.rules.JRip -- -F 3 -N 2.0 -O 2 -S 1,rules
27,58,Supervised Classification,27,0.793478,weka.classifiers.bayes.NaiveBayes,Bayes
47,70,Supervised Classification,48,0.536424,"weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0""",functions
13,61,Supervised Classification,13,0.692308,weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,trees
7,77,Supervised Classification,7,0.831858,weka.classifiers.meta.LogitBoost -- -P 100 -F 0 -R 1 -L -1.7976931348623157E308 -H 1.0 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,meta
41,77,Supervised Classification,42,0.93265,weka.classifiers.meta.LogitBoost -- -P 100 -F 0 -R 1 -L -1.7976931348623157E308 -H 1.0 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,meta
30,58,Supervised Classification,30,0.898959,weka.classifiers.bayes.NaiveBayes,Bayes
35,57,Supervised Classification,35,0.502732,weka.classifiers.rules.OneR -- -B 6,rules
31,59,Supervised Classification,31,0.715,weka.classifiers.rules.JRip -- -F 3 -N 2.0 -O 2 -S 1,rules
37,77,Supervised Classification,37,0.742188,weka.classifiers.meta.LogitBoost -- -P 100 -F 0 -R 1 -L -1.7976931348623157E308 -H 1.0 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,meta
40,75,Supervised Classification,41,0.448598,weka.classifiers.meta.AdaBoostM1 -- -P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,meta
1,67,Supervised Classification,1,0.961024,weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5,Bayes
43,62,Supervised Classification,44,0.77983,weka.classifiers.trees.DecisionStump,trees
24,77,Supervised Classification,24,0.982398,weka.classifiers.meta.LogitBoost -- -P 100 -F 0 -R 1 -L -1.7976931348623157E308 -H 1.0 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,meta
29,74,Supervised Classification,29,0.847826,weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1,functions
40,77,Supervised Classification,41,0.71028,weka.classifiers.meta.LogitBoost -- -P 100 -F 0 -R 1 -L -1.7976931348623157E308 -H 1.0 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,meta
39,60,Supervised Classification,40,0.677885,weka.classifiers.trees.J48 -- -C 0.25 -M 2,trees
28,66,Supervised Classification,28,0.987189,"weka.classifiers.lazy.IBk -- -K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",Lazy
50,74,Supervised Classification,51,0.826531,weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1,functions
22,70,Supervised Classification,22,0.825,"weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0""",functions
29,64,Supervised Classification,29,0.773913,weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -S 1,trees
